Booth ,Dims ,Size ,X Coords,Y Coords
1,10'x10',100,110',510'
2,10'x10',100,110',520'
3,10'x10',100,120',530'
4,10'x10',100,130',530'
5,10'x10',100,140',530'
6,10'x10',100,150',530'
7,10'x10',100,160',530'
8,10'x10',100,170',530'
9,10'x10',100,180',530'
10,10'x10',100,190',530'
11,10'x10',100,200',530'
12,10'x10',100,210',530'
13,10'x10',100,220',530'
14,10'x10',100,230',530'
15,10'x10',100,250',520'
16,10'x10',100,250',510'
17,10'x20',200,155',510'
18,10'x20',200,195',510'
100,15'x15',225,-25',0'
106,15'x15',225,-25',25'
112,15'x15',225,-25',50'
116,15'x15',225,-25',75'
124,15'x15',225,-25',120'
130,15'x15',225,-25',145'
138,15'x15',225,-25',185'
142,15'x15',225,-25',210'
148,15'x15',225,-25',235'
152,15'x15',225,-25',260'
200,10'x20',200,0',0'
201,20'x20',400,20',0'
204,10'x10',100,0',20'
206,10'x20',200,0',30'
207,20'x20',400,20',30'
212,10'x20',200,0',60'
213,20'x20',400,20',60'
216,10'x10',100,0',80'
218,10'x20',200,0',90'
219,20'x20',400,20',90'
224,10'x20',200,0',120'
225,20'x20',400,20',120'
228,10'x10',100,0',140'
230,10'x20',200,0',150'
231,20'x20',400,20',150'
234,10'x10',100,0',170'
236,10'x20',200,0',180'
237,20'x20',400,20',180'
242,10'x20',200,0',210'
243,20'x20',400,20',210'
246,10'x10',100,0',230'
248,10'x10',100,0',240'
249,20'x20',400,20',240'
250,10'x10',100,0',250'
252,10'x20',200,0',260'
256,10'x20',200,0',280'
257,20'x20',400,20',280'
262,10'x20',200,0',310'
263,10'x20',200,20',310'
266,10'x20',200,0',330'
267,20'x20',400,20',330'
270,10'x10',100,0',350'
272,10'x10',100,0',360'
273,20'x30',600,20',360'
274,10'x20',200,0',370'
281,20'x30',600,20',400'
286,10'x10',100,0',430'
288,10'x10',100,0',440'
289,10'x20',200,20',440'
290,10'x10',100,0',450'
292,10'x10',100,0',460'
293,10'x10',100,20',460'
294,10'x20',200,0',470'
295,10'x20',200,20',470'
301,20'x20',400,50',0'
307,20'x20',400,50',30'
313,20'x20',400,50',60'
319,20'x20',400,50',90'
325,20'x40',800,50',120'
335,20'x30',600,50',170'
343,20'x20',400,50',210'
349,20'x20',400,50',240'
357,20'x20',400,50',280'
362,10'x20',200,30',310'
363,20'x30',600,50',310'
369,10'x20',200,50',340'
373,20'x30',600,50',360'
381,20'x30',600,50',400'
388,10'x10',100,30',440'
389,20'x20',400,50',440'
394,10'x10',100,30',470'
395,10'x10',100,50',470'
396,10'x10',100,30',480'
397,10'x10',100,50',480'
401,30'x30',900,80',0'
409,30'x30',900,80',40'
417,30'x30',900,80',80'
425,30'x50',1500,80',120'
437,30'x20',600,80',180'
443,30'x50',1500,80',210'
455,30'x30',900,80',270'
463,30'x30',900,80',310'
471,30'x40',1200,80',350'
481,30'x30',900,80',400'
489,Custom,500,80',440'
491,10'x10',100,80',450'
494,10'x20',200,60',470'
495,20'x30',600,80',470'
503,20'x30',600,120',10'
511,10'x10',100,120',50'
513,10'x20',200,120',60'
519,20'x20',400,120',90'
525,20'x40',800,120',120'
535,20'x30',600,120',170'
543,20'x30',600,120',210'
551,10'x20',200,120',250'
555,10'x10',100,120',270'
557,20'x20',400,120',280'
563,20'x30',600,120',310'
571,10'x10',100,120',350'
573,10'x10',100,120',360'
575,10'x20',200,120',370'
581,20'x20',400,120',400'
587,20'x20',400,120',430'
593,10'x20',200,120',460'
597,10'x10',100,120',480'
601,50'x50',2500,150',0'
610,10'x20',200,130',50'
613,50'x50',2500,150',60'
614,10'x10',100,130',70'
625,50'x30',1500,150',120'
633,50'x40',2000,150',160'
643,20'x20',400,150',210'
647,20'x20',400,150',230'
650,10'x20',200,130',250'
653,50'x40',2000,150',260'
663,20'x30',600,150',310'
670,10'x10',100,130',350'
671,20'x20',400,150',350'
674,10'x20',200,130',370'
675,20'x20',400,150',370'
681,20'x30',600,150',400'
689,20'x20',400,150',440'
692,10'x20',200,130',460'
695,20'x20',400,150',470'
696,10'x10',100,130',480'
743,20'x20',400,180',210'
747,20'x20',400,180',230'
763,20'x30',600,180',310'
771,20'x20',400,180',350'
775,20'x20',400,180',370'
781,10'x10',100,180',400'
783,10'x10',100,180',410'
785,10'x10',100,180',420'
789,20'x20',400,180',440'
795,20'x20',400,180',470'
801,20'x20',400,210',0'
807,20'x20',400,210',30'
811,10'x10',100,210',50'
813,10'x20',200,210',60'
819,20'x20',400,210',90'
825,20'x30',600,210',120'
833,10'x20',200,210',160'
837,10'x20',200,210',180'
843,20'x20',400,210',210'
849,20'x30',600,210',240'
857,20'x20',400,210',280'
863,20'x30',600,210',310'
871,10'x20',200,210',350'
875,10'x20',200,210',370'
880,10'x10',100,190',400'
881,20'x20',400,210',400'
882,10'x20',200,190',410'
887,20'x20',400,210',430'
893,10'x10',100,210',460'
895,10'x10',100,210',470'
897,10'x10',100,210',480'
901,20'x20',400,240',0'
905,20'x20',400,240',20'
909,20'x10',200,240',40'
910,10'x10',100,220',50'
913,50'x50',2500,240',60'
914,10'x10',100,220',70'
925,50'x50',2500,240',120'
932,10'x20',200,220',160'
937,30'x20',600,240',180'
938,10'x10',100,220',190'
943,20'x10',200,240',210'
947,20'x20',400,240',230'
953,20'x40',800,240',260'
963,20'x30',600,240',310'
970,10'x10',100,220',350'
971,10'x20',200,240',350'
973,20'x30',600,240',360'
974,10'x20',200,220',370'
981,20'x30',600,240',400'
989,20'x20',400,240',440'
992,10'x10',100,220',460'
994,10'x10',100,220',470'
