Name,Use intra rack backbone,Number,Organization,Opt out,Dnoc,Active DNOC
Booth 2,False,2,Student Cluster Competition,False,,None
Booth 1,False,1,Student Cluster Competition,False,,None
Booth 3,False,3,Student Cluster Competition,False,,None
Booth 4,False,4,Student Cluster Competition,False,DNOC 571,DNOC 571
Booth 5,False,5,Student Cluster Competition,False,,None
Booth 6,False,6,Student Cluster Competition,False,,None
Booth 7,False,7,Student Cluster Competition,False,,None
Booth 8,False,8,Student Cluster Competition,False,,None
Booth 9,False,9,Student Cluster Competition,False,,None
Booth 10,False,10,Student Cluster Competition,False,,None
Booth 11,False,11,Student Cluster Competition,False,DNOC 571,DNOC 571
Booth 12,False,12,Student Cluster Competition,False,,None
Booth 13,False,13,Student Cluster Competition,False,,None
Booth 14,False,14,Student Cluster Competition,False,,None
Booth 15,False,15,Student Cluster Competition,False,,None
Booth 16,False,16,Student Cluster Competition,False,,None
Booth 17,False,17,Student Cluster Competition,False,DNOC 571,DNOC 571
Booth 18,False,18,Student Cluster Competition,False,,None
Booth 100,False,100,RSC Technologies,False,DNOC 614,DNOC 614
Booth 106,False,106,,False,DNOC 614,DNOC 614
Booth 112,False,112,,False,DNOC 614,DNOC 614
Booth 116,False,116,,False,DNOC 614,DNOC 614
Booth 124,False,124,SDSC,False,DNOC 614,DNOC 614
Booth 130,False,130,,False,DNOC 614,DNOC 614
Booth 138,False,138,,False,DNOC 614,DNOC 614
Booth 142,False,142,,False,DNOC 614,DNOC 614
Booth 148,False,148,"Qumulo, Inc.",False,DNOC 571,DNOC 571
Booth 152,False,152,Xilinx,False,DNOC 614,DNOC 614
Booth 200,False,200,CEJN North America,False,DNOC 614,DNOC 614
Booth 201,False,201,EPCC - The University of Edinburgh,True,DNOC 614,DNOC 614
Booth 204,False,204,CPC,False,DNOC 614,DNOC 614
Booth 206,False,206,D-Wave Systems Inc.,False,DNOC 614,DNOC 614
Booth 207,False,207,"HSS - State Key Laboratory of High-end Server & Storage Technology, Asia Supercomputer Community",False,DNOC 614,DNOC 614
Booth 212,False,212,Rensselaer Polytechnic Institute,False,DNOC 614,DNOC 614
Booth 213,False,213,Data in Science Corporation,False,DNOC 614,DNOC 614
Booth 216,False,216,Kansai University,False,DNOC 614,DNOC 614
Booth 218,False,218,Nortek Global HVAC ServerCool,False,DNOC 614,DNOC 614
Booth 219,False,219,RIST Kobe Center,False,DNOC 614,DNOC 614
Booth 224,False,224,Kyoto University,False,DNOC 614,DNOC 614
Booth 225,False,225,XSEDE,True,DNOC 614,DNOC 614
Booth 228,False,228,SKA Organisation,False,DNOC 614,DNOC 614
Booth 230,False,230,Irish Centre for High-End Computing,True,DNOC 614,DNOC 614
Booth 231,False,231,SSERCA,False,DNOC 614,DNOC 614
Booth 234,False,234,Runtime,True,DNOC 614,DNOC 614
