Booth ,Dims ,Size ,X Coords,Y Coords
124,15'x15',225,0',100'
130,15'x15',225,0',125'
134,15'x15',225,0',150'
140,15'x15',225,0',175'
146,15'x15',225,0',200'
204,10'x10',100,40',0'
205,20'x20',400,60',0'
206,10'x10',100,40',10'
208,10'x10',100,40',20'
210,10'x10',100,40',30'
211,20'x20',400,60',30'
212,10'x20',200,40',40'
216,10'x10',100,40',60'
217,10'x20',200,60',60'
218,10'x10',100,40',70'
220,10'x10',100,40',80'
221,10'x20',200,60',80'
222,10'x10',100,40',90'
226,10'x20',200,40',110'
227,20'x40',800,60',110'
230,10'x10',100,40',130'
232,10'x10',100,40',140'
234,10'x10',100,40'',150'
236,10'x20',200,40',160'
237,20'x20',400,60',160'
240,10'x10',100,40',180'
242,10'x30',300,40',190'
243,10'x20',200,60',190'
247,10'x10',100,60',210'
305,20'x30',600,90',0'
313,20'x30',600,90',40'
316,10'x10',100,70',60'
318,10'x30',300,70',70'
321,10'x20',200,90',80'
327,20'x30',600,90',110'
335,20'x30',600,90',150'
342,10'x10',100,70',190'
343,10'x10',100,90',190'
344,10'x20',200,70',200'
345,10'x20',200,90',200'
405,20'x20',400,120',0'
411,20'x20',400,120',30'
420,10'x10',100,100',80'
421,20'x20',400,120',80'
422,10'x10',100,100',90'
427,20'x30',600,120',110'
439,10'x20',200,120',170'
442,10'x20',200,100',190'
443,10'x10',100,120',190'
445,10'x20',200,120',200'
446,10'x10',100,100',210'
505,20'x20',400,150',0'
511,20'x20',400,150',50'
521,20'x20',400,150',80'
527,20'x30',600,150',110'
538,10'x20',200,130',170'
539,20'x20',400,150',170'
542,10'x10',100,130',190'
544,10'x20',200,130',200'
545,50'x20',1000,150',200'
605,20'x20',400,180',0'
611,20'x20',400,180',30'
619,50'x30',1500,180',70'
627,10'x20',200,180',110'
631,10'x10',100,180',130'
633,10'x20',200,180',140'
639,20'x20',400,180',170'
705,20'x20',400,210',0'
711,20'x20',400,210',30'
726,10'x20',200,190',110'
